Wine and Vintage,Vintage,Price per Bottle (ZAR),RATING,Category,Second Category
Avondale Jonty's Ducks Pekin White 2020,2020,383,"95/100, DM 2023",White Blends,White Blends
Beau Joubert Ambassador 2020 (Red Blend),2020,195,"Gold, MV 2023",White Blends Bordeaux Style,White Blends
Vrede en Lust Barrique Semillon Sauvignon Blanc 2020,2020,220,"93/100, IWSC 2023",White Blends Bordeaux Style,White Blends
Durbanville Hills Tangram White 2020,2020,230,"Trophy, IWSC 2023",White Blends Bordeaux Style,White Blends
Tokara Director's Reserve White 2020,2020,330,"Trophy, GWC 2023",White Blends Bordeaux Style,White Blends
Quoin Rock White Blend 2020,2020,400,"93/100, IWSC 2023",White Blends Bordeaux Style,White Blends
Thokozani Cabernet Franc (Diemersfontein) 2021,2021,150,"97/100, TWS 2023",Cabernet Franc,Red
Morgenster Cabernet Franc 2021,2021,165,"Top 6, CFC 2023",Cabernet Franc,Red
Marklew Cabernet Franc 2021,2021,250,"Gold, CFC 2023",Cabernet Franc,Red
Chamonix Cabernet Franc Reserve 2021,2021,270,"Gold, CFC 2023",Cabernet Franc,Red
Raats Eden High Density Single Vineyard Cabernet Franc 2021,2021,2750,"96/100, PG 2023",Cabernet Franc,Red
Rainbow's End Cabernet Franc 2021,2021,295,"Gold, CFC 2023",Cabernet Franc,Red
Beaumont Ariane Cabernet Franc 2021,2021,345,"95/100, PG 2023",Cabernet Franc,Red
Rainbow's End Limited Release Cabernet Franc 2021,2021,380,"Gold, CFC 2023",Cabernet Franc,Red
De Trafford Cabernet Franc 2021,2021,465,"95/100, PG 2023",Cabernet Franc,Red
Raats Family Cabernet Franc 2021,2021,750,"95/100, PG 2023",Cabernet Franc,Red
Nederburg Winemasters Cabernet Sauvignon 2021,2021,116,"95/100, DWA 2023",Cabernet Sauvignon,Red
Durbanville Hills Collectors Reserve Cabernet Sauvignon 2021,2021,150,"Gold, CM 2023",Cabernet Sauvignon,Red
Maastricht Cabernet Sauvignon 2021,2021,155,"93/100, WM 2023",Cabernet Sauvignon,Red
Glenelly Glass Collection Cabernet Sauvignon 2021,2021,160,"94/100, WM 2023",Cabernet Sauvignon,Red
Mont Massif Cabernet Sauvignon (Montagu Winery) 2021,2021,165,"D Gold, VA 2023",Cabernet Sauvignon,Red
Vrede Vineyard Select Cabernet Sauvignon 2021 (Vin de Classique),2021,165,"Top 100, NWC 2023",Cabernet Sauvignon,Red
Bonnievale Limited Release Cabernet Sauvignon 2021,2021,171,"Top 100, NWC 2023",Cabernet Sauvignon,Red
Kleine Zalze Vineyard Selection Cabernet Sauvignon 2021,2021,199,"94/100, WM 2023",Cabernet Sauvignon,Red
David Finlayson Cabernet Sauvignon 2021,2021,200,"93/100, G&G 2023",Cabernet Sauvignon,Red
Babylonstoren Cabernet Sauvignon 2021,2021,240,"Top 100, NWC 2023",Cabernet Sauvignon,Red
Ernie Els Major Series Cabernet Sauvignon 2021,2021,250,"93/100, WM 2023",Cabernet Sauvignon,Red
Knorhoek Cabernet Sauvignon 2021,2021,250,"Gold, MV 2023",Cabernet Sauvignon,Red
Rainbow's End Cabernet Sauvignon 2021,2021,250,"93/100, G&G 2023",Cabernet Sauvignon,Red
Survivor Cabernet Sauvignon (Overhex) 2021,2021,250,"Gold, MV 2023",Cabernet Sauvignon,Red
Jordan Long Fuse Cabernet Sauvignon 2021,2021,260,"95/100, DWA 2023",Cabernet Sauvignon,Red
PF Cabernet Sauvignon (Peter Falke) 2021,2021,300,"93/100, WM 2023",Cabernet Sauvignon,Red
Le Riche Cabernet Sauvignon 2021,2021,330,"95/100, PG 2023",Cabernet Sauvignon,Red
Diemersdal Journal Cabernet Sauvignon 2021,2021,370,"95/100, PG 2023",Cabernet Sauvignon,Red
Matthew van Heerden Cabernet Sauvignon 2021,2021,450,"95/100, PG 2023",Cabernet Sauvignon,Red
Boekenhoutskloof Stellenbosch Cabernet Sauvignon 2021,2021,495,"95/100, PG 2023",Cabernet Sauvignon,Red
David Finlayson GS 2021 (Cabernet Sauvignon),2021,550,"96/100, PG 2023",Cabernet Sauvignon,Red
Cederberg Five Generations Cabernet Sauvignon 2021,2021,750,"95/100, PG 2023",Cabernet Sauvignon,Red
Bellingham Homestead Chardonnay 2021,2021,110,"93/100, WM 2023",Chardonnay,White
Nederburg Manor House Chardonnay 2021,2021,135,"Gold, CM 2023",Chardonnay,White
Backsberg Smuggled Vines Chardonnay (DGB) 2021,2021,160,"Gold, CdM 2023",Chardonnay,White
Sutherland Chardonnay (Thelema) 2021,2021,190,"95/100, IWC 2023",Chardonnay,White
Lourensford Limited Release Chardonnay 2021,2021,200,"Gold, MV 2023",Chardonnay,White
Vigne d'Or Chardonnay 2021 (Terre Paisible),2021,225,"Gold, MV 2023",Chardonnay,White
Groote Post Kapokberg Chardonnay 2021,2021,231,"93/100, TWS 2023",Chardonnay,White
Vriesenhof Chardonnay 2021,2021,240,"95/100, WM 2023",Chardonnay,White
Tokara Reserve Stellenbosch Chardonnay 2021,2021,260,"93/100, IWC 2023",Chardonnay,White
Groot Constantia Chardonnay 2021,2021,285,"95/100, IWC 2023",Chardonnay,White
Paul Cluver Estate Chardonnay 2021,2021,300,"95/100, PG 2023",Chardonnay,White
Neil Ellis Whitehall Chardonnay 2021,2021,325,"97/100, DWA 2023",Chardonnay,White
Capensis Silene Chardonnay 2021,2021,350,"Trophy, IWSC 2023",Chardonnay,White
De Wetshof The Site Chardonnay 2021,2021,358,"Gold, MV 2023",Chardonnay,White
Lothian Chardonnay 2021,2021,370,"94/100, WM 2023",Chardonnay,White
Iona Chardonnay 2021,2021,375,"97/100, DWA 2023",Chardonnay,White
Boschendal Elgin Chardonnay 2021,2021,450,"95/100, DWA 2023",Chardonnay,White
Bartinney Hourglass Chardonnay 2021,2021,495,"95/100, DWA 2023",Chardonnay,White
Restless River Ava Marie Chardonnay 2021,2021,510,"95/100, PG 2023",Chardonnay,White
Rustenberg Five Soldiers Chardonnay 2021,2021,530,"94/100, DWA 2023",Chardonnay,White
De Wetshof Bateleur Chardonnay 2021,2021,700,"Gold, MV 2023",Chardonnay,White
Leeu Passant Stellenbosch Chardonnay 2021,2021,850,"95/100, PG 2023",Chardonnay,White
Paul Cluver Seven Flags Chardonnay 2021,2021,950,"95/100, DWA 2023",Chardonnay,White
Joostenberg Myburgh Bros Old Vine Chenin Blanc 2021,2021,130,"95/100, DM 2023",Chenin Blanc,White
Leopard's Leap Culinaria Chenin Blanc 2021,2021,130,"93/100, DM 2023",Chenin Blanc,White
Circumstance Chenin Blanc 2021 (Waterkloof),2021,140,"93/100, DM 2023",Chenin Blanc,White
Cape of Good Hope Riebeeksrivier Chenin Blanc 2021 (Rupert),2021,150,"Top 10, CBC 2023",Chenin Blanc,White
La Cave Chenin Blanc (Wellington Wines) 2021,2021,150,"D Gold, VA 2023",Chenin Blanc,White
Perdeberg Dry Land Old Vine Barrel Fermented Chenin Blanc 2021,2021,160,"93/100, DM 2023",Chenin Blanc,White
KWV Mentors Chenin Blanc 2021,2021,169,"93/100, G&G 2023",Chenin Blanc,White
Lievland Old Vine Chenin Blanc 2021,2021,170,"94/100, G&G 2023",Chenin Blanc,White
Stellenbosch Vineyards Credo Chenin Blanc 2021,2021,175,"Best in Class, NWC 2023",Chenin Blanc,White
Knorhoek Chenin Blanc 2021,2021,180,"Gold, MV 2023",Chenin Blanc,White
Delheim Wild Ferment Chenin Blanc 2021,2021,190,"93/100, WM 2023",Chenin Blanc,White
Nederburg Heritage Heroes Anchorman Old Vine Chenin Blanc 2021,2021,190,"Master, GWM 2023",Chenin Blanc,White
Bergsig Patmos Reserve Collection Chenin Blanc 2021,2021,195,"N Winner, SAT 2023",Chenin Blanc,White
Julien Schaal Born of Fire Chenin Blanc 2021,2021,200,"93/100, DM 2023",Chenin Blanc,White
Stellenrust Stellenbosch Manor Barrel Fermented Chenin Blanc 2021,2021,200,"Top 10, CBC 2023",Chenin Blanc,White
Joostenberg Agteros Chenin Blanc 2021,2021,205,"94/100, DM 2023",Chenin Blanc,White
DaschBosch Mossiesdrift Steen (uniWines) 2021 (Chenin),2021,220,"93/100, DM 2023",Chenin Blanc,White
Vrede en Lust Kogelberg Chenin Blanc 2021,2021,220,"93/100, WM 2023",Chenin Blanc,White
Ridgeback Chenin Blanc 2021,2021,225,"Top 100, NWC 2023",Chenin Blanc,White
Strydom Danièle Chenin Blanc 2021,2021,235,"94/100, DM 2023",Chenin Blanc,White
Mhudi Barrel Fermented Chenin Blanc 2021,2021,239,"Master, GWM 2023",Chenin Blanc,White
