Wine and Vintage,Vintage,Price per Bottle (ZAR),RATING,Category,Second Category
Bruce Jack Boer Maak ’n Plan Chenin Blanc 2022,2022,270,"Gold, GWM 2023",Chenin Blanc,White
Kleine Zalze Family Reserve Chenin Blanc 2022,2022,270,"Gold, GWM 2023",Chenin Blanc,White
Zevenwacht Z Chenin Blanc 2022,2022,270,"97/100, TWS 2023",Chenin Blanc,White
Alvi's Drift Albertus Viljoen Chenin Blanc 2022,2022,280,"Top 10, CBC 2023",Chenin Blanc,White
Old Road Anemos Chenin Blanc 2022,2022,290,"Gold, MV 2023",Chenin Blanc,White
Asara Amphora Chenin Blanc 2022,2022,295,"95/100, PG 2023",Chenin Blanc,White
Stellenrust Next FN Level Chenin Blanc 2022,2022,300,"Top 10, CBC 2023",Chenin Blanc,White
Stellenrust Old Bush Vine Chenin Blanc 2022,2022,300,"98/100, PG 2023",Chenin Blanc,White
Donkiesbaai Steen (Guardian Peak) 2022 (Chenin),2022,320,"93/100, DWA 2023",Chenin Blanc,White
Cederberg Five Generations Chenin Blanc 2022,2022,325,"93/100, DWA 2023",Chenin Blanc,White
Metzer Maritime Chenin Blanc 2022,2022,330,"95/100, PG 2023",Chenin Blanc,White
Stark-Condé Monk Stone Chenin Blanc 2022,2022,350,"96/100, PG 2023",Chenin Blanc,White
Harry Hartman Church Swartland Chenin Blanc 2022,2022,360,"93/100, WM 2023",Chenin Blanc,White
Savage Never Been Asked to Dance 2022 (Chenin),2022,365,"97/100, PG 2023",Chenin Blanc,White
Carinus Polkadraai Heuwels Chenin Blanc 2022,2022,385,"95/100, PG 2023",Chenin Blanc,White
Piekenierskloof Bergendal Old Vine Chenin Blanc 2022,2022,400,"93/100, DM 2023",Chenin Blanc,White
Bosman Optenhorst Chenin Blanc 2022,2022,415,"96/100, PG 2023",Chenin Blanc,White
Beaumont Hope Marguerite 2022 (Chenin),2022,425,"95/100, PG 2023",Chenin Blanc,White
DeMorgenzon Reserve Chenin Blanc 2022,2022,445,"97/100, PG 2023",Chenin Blanc,White
Botanica Mary Delany Chenin Blanc 2022,2022,450,"95/100, PG 2023",Chenin Blanc,White
Revenge of the Crayfish (Sakkie Mouton) 2022 (Chenin),2022,450,"95/100, PG 2023",Chenin Blanc,White
Sadie Family Rotsbank 2022 (Chenin),2022,495,"96/100, PG 2023",Chenin Blanc,White
Sadie Family Skurfberg 2022 (Chenin),2022,495,"96/100, PG 2023",Chenin Blanc,White
"Mothership Chenin Blanc (ArtiSons, Stellenrust) 2022",2022,520,"Gold, GWC 2023",Chenin Blanc,White
City on a Hill Earth 2022 (Chenin),2022,525,"98/100, PG 2023",Chenin Blanc,White
Douglas Green Chenin Blanc 2022,2022,59,"Gold, TEX 2023",Chenin Blanc,White
Mullineux Granite Chenin Blanc 2022,2022,630,"97/100, PG 2023",Chenin Blanc,White
Mullineux Schist Chenin Blanc 2022,2022,630,"97/100, PG 2023",Chenin Blanc,White
Backsberg Gravel Road Chenin Blanc (DGB) 2022,2022,70,"Gold, MV 2023",Chenin Blanc,White
Ken Forrester FMC 2022 (Chenin),2022,775,"Top 100, NWC 2023",Chenin Blanc,White
MAN Free-run Steen Chenin Blanc 2022,2022,90,"97/100, TWS 2023",Chenin Blanc,White
David & Nadia Plat'bos Chenin Blanc 2022,2022,900,"95/100, PG 2023",Chenin Blanc,White
Bellevue Eselgraf Single Vineyard Chenin Blanc 2022,2022,95,"94/100, WM 2023",Chenin Blanc,White
Stories Cinsaut (Pulpit Rock) 2022,2022,100,"D Gold, VA 2023",Cinsault,Red
Welbedacht Bakleiblok 2022 (Cinsault),2022,150,"N Winner, SAT 2023",Cinsault,Red
Eenzaamheid Cinsaut 2022,2022,190,"95/100, PG 2023",Cinsault,Red
Savage Follow the Line 2022 (Cinsaut),2022,345,"95/100, PG 2023",Cinsault,Red
Rickety Bridge Paulina's Reserve Old Vine Cinsault 2022,2022,495,"D Gold, VA 2023",Cinsault,Red
Van Loggerenberg Lotter 2022 (Cinsaut),2022,535,"95/100, PG 2023",Cinsault,Red
Perdeberg Vineyard Collection Grenache Blanc 2022,2022,100,"94/100, DWA 2023",Grenache Blanc,White
Piekenierskloof Grenache Blanc 2022,2022,120,"95/100, DWA 2023",Grenache Blanc,White
Arbeidsgenot Grenache Blanc 2022,2022,150,"N Winner, SAT 2023",Grenache Blanc,White
Riebeek Cellars Raar Grenache Blanc 2022,2022,164,"95/100, PG 2023",Grenache Blanc,White
Foundry Grenache Blanc 2022,2022,250,"95/100, PG 2023",Grenache Blanc,White
Kleine Zalze Vineyard Selection Grenache 2022,2022,199,"D Gold, GWC 2023",Grenache Noir,White
Elemental Bob Turkish 2022 (Grenache Noir),2022,280,"95/100, PG 2023",Grenache Noir,White
Kleine Zalze Project Z Grenache 2022,2022,590,"96/100, PG 2023",Grenache Noir,White
Blake's Single Vineyard Malbec 2022,2022,110,"Gold, MC 2023",Malbec,Red
Fairview Malbec 2022,2022,125,"Gold, MC 2023",Malbec,Red
Le Pommier Jonathan's Malbec 2022,2022,180,"Gold, MC 2023",Malbec,Red
Diemersfontein Carpe Diem Malbec Reserve 2022,2022,260,"Gold, MC 2023",Malbec,Red
Doolhof Single Vineyard Malbec 2022,2022,295,"D Gold, GWC 2023",Malbec,Red
Nabygelegen Merlot 2022,2022,125,"Top 10, T10M 2023",Merlot,Red
Boplaas Touriga Naçional 2022,2022,105,"N Winner, SAT 2023",Niche Red Varieties,Niche Red
Arbeidsgenot Verdelho 2022,2022,150,"N Winner, SAT 2023",Niche White Varieties,Niche White
Oak Valley Groenlandberg Pinot Noir 2022,2022,280,"Top 100, NWC 2023",Pinot Noir,Red
De Grendel Op die Berg Pinot Noir 2022,2022,300,"D Gold, VA 2023",Pinot Noir,Red
David Finlayson Camino Africana Pinot Noir Reserve 2022,2022,365,"Top 5, T5P 2023",Pinot Noir,Red
Crystallum Cuvée Cinéma Pinot Noir 2022,2022,400,"95/100, DM 2023",Pinot Noir,Red
Emily's Pinot Noir (Urle Hansen) 2022,2022,400,"Top 5, T5P 2023",Pinot Noir,Red
Saurwein Om Pinot Noir 2022,2022,530,"93/100, DM 2023",Pinot Noir,Red
Storm Ignis Pinot Noir 2022,2022,630,"95/100, PG 2023",Pinot Noir,Red
Crystallum Bona Fide Pinot Noir 2022,2022,667,"95/100, PG 2023",Pinot Noir,Red
Art of Creation Pinot Noir 2022,2022,940,"95/100, DM 2023",Pinot Noir,Red
Warwick First Lady Pinotage 2022,2022,120,"94/100, WM 2023",Pinotage,Red
Mooiplaas Pinotage 2022,2022,155,"95/100, WM 2023",Pinotage,Red
Diemersdal Pinotage Reserve 2022,2022,190,"D Gold, GWC 2023",Pinotage,Red
illimis Pinotage 2022,2022,248,"93/100, WM 2023",Pinotage,Red
De Grendel Amandelboord Pinotage 2022,2022,300,"95/100, WM 2023",Pinotage,Red
Fryer's Cove Grenache Cinsault 2022,2022,150,"94/100, IWSC 2023",Red Blends,Red Blends
Chocolate Block (Boekenhoutskloof) 2022 (Red Blend),2022,280,"95/100, PG 2023",Red Blends,Red Blends
Savage Are We There Yet? 2022 (Red Blend),2022,345,"95/100, PG 2023",Red Blends,Red Blends
Hogan Divergent 2022 (Red Blend),2022,375,"95/100, PG 2023",Red Blends,Red Blends
Wildeberg Red 2022,2022,403,"Top 12, SSA 2023",Red Blends,Red Blends
Nederburg Baronne 2022 (Red Blend),2022,75,"Gold, GWC 2023",Red Blends,Red Blends
Wildeberg Coterie Grenache & Syrah 2022,2022,181,"93/100, WM 2023",Red Blends - Rhone Style,Red Blends
Harry Hartman Finn 2022 (Red Blend),2022,195,"93/100, WM 2023",Red Blends - Rhone Style,Red Blends
Wolftrap Red 2022 (Boekenhoutskloof),2022,70,"95/100, IWSC 2023",Red Blends - Rhone Style,Red Blends
Vrede en Lust Early Mist Riesling 2022,2022,130,"Top 100, NWC 2023",Riesling,
Jordan Real McCoy Riesling 2022,2022,167,"Gold, GWC 2023",Riesling,
Kruger Family Reserve Rosé 2022 (Stellenview),2022,155,"94/100, IWSC 2023",Rosé,Rosé
Blaauwklippen Blush Rosé 2022,2022,160,"Gold, GWC 2023",Rosé,Rosé
Arbeidsgenot Roussanne 2022,2022,150,"N Winner, SAT 2023",Roussanne,
Saronsberg Sauvignon Blanc 2022,2022,100,"Top 100, NWC 2023",Sauvignon Blanc,White
Maastricht Sauvignon Blanc 2022,2022,105,"Gold, CMS 2023",Sauvignon Blanc,White
Spier Good Natured Sauvignon Blanc 2022,2022,109,"Gold, CMS 2023",Sauvignon Blanc,White
Bellingham Homestead Sauvignon Blanc 2022,2022,110,"Gold, MV 2023",Sauvignon Blanc,White
Rustenberg Stellenbosch Sauvignon Blanc 2022,2022,110,"Gold, CMS 2023",Sauvignon Blanc,White
Allée Bleue Sauvignon Blanc 2022,2022,115,"93/100, WM 2023",Sauvignon Blanc,White
Buitenverwachting Sauvignon Blanc 2022,2022,120,"D Gold, VA 2023",Sauvignon Blanc,White
Walker Bay Sauvignon Blanc 2022,2022,125,"D Gold, VA 2023",Sauvignon Blanc,White
Diemersdal Sauvignon Blanc Reserve 2022,2022,130,"94/100, WM 2023",Sauvignon Blanc,White
Durbanville Hills Collectors Reserve Sauvignon Blanc 2022,2022,135,"97/100, TWS 2023",Sauvignon Blanc,White
Spier Seaward Sauvignon Blanc 2022,2022,135,"Gold, CM 2023",Sauvignon Blanc,White
Fryer's Cove Sauvignon Blanc 2022,2022,139,"Gold, MV 2023",Sauvignon Blanc,White
Alvi's Drift Reserve Sauvignon Blanc 2022,2022,140,"Top 100, NWC 2023",Sauvignon Blanc,White
Flagstone Free Run Sauvignon Blanc 2022,2022,140,"Top 20, ST10 2023",Sauvignon Blanc,White
Rustenberg Wild Ferment Sauvignon Blanc 2022,2022,140,"95/100, DWA 2023",Sauvignon Blanc,White
The Pledge Our Origin Sauvignon Blanc (Le Grand) 2022,2022,150,"Top 10, ST10 2023",Sauvignon Blanc,White
Zorgvliet Single Vineyard Sauvignon Blanc 2022,2022,150,"Top 10, ST10 2023",Sauvignon Blanc,White
Grand Vin de Stellenbosch Sauvignon Blanc (Le Grand) 2022,2022,156,"Gold, CMS 2023",Sauvignon Blanc,White
Blaauwklippen Sauvignon Blanc 2022,2022,160,"Gold, CMS 2023",Sauvignon Blanc,White
Giant Periwinkle Wind Scorpion 2022 (Sauvignon Blanc),2022,160,"95/100, PG 2023",Sauvignon Blanc,White
Tokara Reserve Elgin Sauvignon Blanc 2022,2022,168,"Top 10, ST10 2023",Sauvignon Blanc,White
La Motte Pierneef Sauvignon Blanc 2022,2022,170,"Gold, MV 2023",Sauvignon Blanc,White
Uva Mira The Mira Sauvignon Blanc 2022,2022,170,"Gold, MV 2023",Sauvignon Blanc,White
Benguela Cove Vinography Sauvignon Blanc 2022,2022,180,"D Gold, VA 2023",Sauvignon Blanc,White
Hasher Fat Lady Sauvignon Blanc 2022,2022,180,"95/100, PG 2023",Sauvignon Blanc,White
Lomond Pincushion Sauvignon Blanc 2022,2022,180,"95/100, PG 2023",Sauvignon Blanc,White
Strandveld Pofadderbos Sauvignon Blanc 2022,2022,180,"95/100, PG 2023",Sauvignon Blanc,White
Du Toitskloof Old Vine Sauvignon Blanc 2022,2022,190,"94/100, WM 2023",Sauvignon Blanc,White
Christiena Trousseau Sauvignon Blanc (Van Loveren) 2022,2022,195,"Top 100, NWC 2023",Sauvignon Blanc,White
Maastricht Contour Sauvignon Blanc 2022,2022,195,"D Gold, VA 2023",Sauvignon Blanc,White
Cape Point Reserve Sauvignon Blanc 2022,2022,210,"93/100, IWSC 2023",Sauvignon Blanc,White
Villiera Bush Vine Sauvignon Blanc 2022,2022,210,"Trophy, CMS 2023",Sauvignon Blanc,White
De Grendel Koetshuis Sauvignon Blanc 2022,2022,225,"Top 10, ST10 2023",Sauvignon Blanc,White
Buitenverwachting Hussey's Vlei Sauvignon Blanc 2022,2022,235,"95/100, PG 2023",Sauvignon Blanc,White
Diemersdal Journal Sauvignon Blanc 2022,2022,240,"97/100, PG 2023",Sauvignon Blanc,White
Steenberg Black Swan Sauvignon Blanc 2022,2022,260,"Top 10, ST10 2023",Sauvignon Blanc,White
Diemersdal Wild Horseshoe Sauvignon Blanc 2022,2022,265,"95/100, PG 2023",Sauvignon Blanc,White
Stark-Condé Round Mountain Sauvignon Blanc 2022,2022,265,"Top 10, ST10 2023",Sauvignon Blanc,White
Iona Wild Ferment Sauvignon Blanc 2022,2022,270,"Top 20, ST10 2023",Sauvignon Blanc,White
Kleine Zalze Family Reserve Sauvignon Blanc 2022,2022,270,"Top 10, ST10 2023",Sauvignon Blanc,White
Zevenwacht Z Sauvignon Blanc 2022,2022,270,"95/100, PG 2023",Sauvignon Blanc,White
Waterkloof Sauvignon Blanc 2022,2022,300,"95/100, PG 2023",Sauvignon Blanc,White
Ghost Corner Wild Ferment Sauvignon Blanc (Cederberg Cellar) 2022,2022,310,"95/100, PG 2023",Sauvignon Blanc,White
Thorne & Daughters Snakes & Ladders 2022 (Sauvignon Blanc),2022,350,"95/100, PG 2023",Sauvignon Blanc,White
Klein Constantia Perdeblokke Sauvignon Blanc 2022,2022,650,"95/100, PG 2023",Sauvignon Blanc,White
Brampton Sauvignon Blanc 2022,2022,80,"Gold, MV 2023",Sauvignon Blanc,White
Franschhoek Cellar Sauvignon Blanc 2022,2022,80,"Gold, MV 2023",Sauvignon Blanc,White
Spier Sauvignon Blanc 2022,2022,80,"Gold, CMS 2023",Sauvignon Blanc,White
Durbanville Hills Sauvignon Blanc 2022,2022,90,"Gold, CMS 2023",Sauvignon Blanc,White
Groot Phesantekraal Sauvignon Blanc 2022,2022,94,"Gold, CMS 2023",Sauvignon Blanc,White
Land's End Cape South Coast Sauvignon Blanc (DTK) 2022,2022,95,"D Gold, VA 2023",Sauvignon Blanc,White
KWV Cathedral Cellar Sauvignon Blanc 2022,2022,99,"96/100, TWS 2023",Sauvignon Blanc,White
Thor Lara Semillon 2022,2022,200,"94/100, WM 2023",Semillon,White
Constantia Uitsig Semillon 2022,2022,220,"94/100, DWA 2023",Semillon,White
Steenberg Semillon 2022,2022,260,"96/100, PG 2023",Semillon,White
Wildeberg White 2022 (Semillon),2022,403,"95/100, PG 2023",Semillon,White
Sadie Family Kokerboom 2022 (Semillon),2022,495,"95/100, PG 2023",Semillon,White
Diemersdal Syrah 2022,2022,190,"95/100, PG 2023",Shiraz / Syrah,Red
Metzer Shiraz 2022,2022,350,"95/100, PG 2023",Shiraz / Syrah,Red
"Sons of Sugarland Syrah (Patatsfontein, Boschkloof) 2022",2022,415,"96/100, PG 2023",Shiraz / Syrah,Red
Dawn of The Salty Tongues Syrah 2022 (Sakkie Mouton),2022,508,"95/100, PG 2023",Shiraz / Syrah,Red
Van Loggerenberg Graft 2022 (Shiraz),2022,670,"96/100, PG 2023",Shiraz / Syrah,Red
Stellenrust Shiraz 2022,2022,99,"Top 100, NWC 2023",Shiraz / Syrah,Red
Bruce Jack Reserve Viognier 2022,2022,150,"Gold, GWC 2023",Viognier,White
Lourensford Limited Release Viognier 2022,2022,200,"95/100, PG 2023",Viognier,White
Ridgeback Viognier 2022,2022,250,"Top 100, NWC 2023",Viognier,White
Deetlefs Signature Viognier 2022,2022,495,"N Winner, SAT 2023",Viognier,White
Spier Yellowwood Organic White 2022,2022,130,"Gold, MV 2023",White Blends,White Blends
Leeuwenkuil Reserve White 2022,2022,135,"96/100, PG 2023",White Blends,White Blends
Circle of Life White (Waterkloof) 2022,2022,160,"94/100, DWA 2023",White Blends,White Blends
Cavalli Cremello 2022 (White Blend),2022,210,"93/100, WM 2023",White Blends,White Blends
Sutherland Viognier Roussanne (Thelema) 2022,2022,220,"95/100, PG 2023",White Blends,White Blends
Muratie Laurens Campher 2022 (White Blend),2022,250,"93/100, IWSC 2023",White Blends,White Blends
Stark-Condé Field Blend 2022 (White Blend),2022,265,"93/100, DWA 2023",White Blends,White Blends
Vondeling Babiana 2022 (White Blend),2022,295,"Gold, GWC 2023",White Blends,White Blends
Thorne & Daughters Rocking Horse Cape White 2022,2022,305,"95/100, PG 2023",White Blends,White Blends
Fairview Beryl Back 2022 (White Blend),2022,330,"96/100, PG 2023",White Blends,White Blends
Brookdale Bradbourne 2022 (White Blend),2022,350,"93/100, TWS 2023",White Blends,White Blends
Rall White 2022,2022,365,"95/100, PG 2023",White Blends,White Blends
Brookdale Sixteen Field Blend 2022 (White Blend),2022,380,"95/100, PG 2023",White Blends,White Blends
Mullineux Old Vines White 2022,2022,415,"95/100, PG 2023",White Blends,White Blends
Beaumont New Baby 2022 (White Blend),2022,450,"96/100, PG 2023",White Blends,White Blends
Sadie Family Skerpioen 2022 (White Blend),2022,495,"95/100, PG 2023",White Blends,White Blends
Tien Uur (Brandvlei) 2022 (White Blend),2022,85,"93/100, G&G 2023",White Blends,White Blends
Flagstone Treaty Tree Reserve Sauvignon Blanc Semillon 2022 (White Blend),2022,140,"N Winner, SAT 2023",White Blends Bordeaux Style,White Blends
Wildeberg Coterie Semillon Sauvignon Blanc 2022,2022,181,"95/100, WM 2023",White Blends Bordeaux Style,White Blends
Boschendal Suzanne 2022 (White Blend),2022,250,"93/100, WM 2023",White Blends Bordeaux Style,White Blends
Journey's End Collectors Series Sauvignon Blanc Semillon 2022,2022,330,"94/100, WM 2023",White Blends Bordeaux Style,White Blends
Cape Point Isliedh 2022 (White Blend),2022,400,"93/100, IWSC 2023",White Blends Bordeaux Style,White Blends
Quoin Rock White Blend 2022,2022,400,"94/100, WM 2023",White Blends Bordeaux Style,White Blends
De Wetshof Limestone Hill Chardonnay 2023,2023,110,"D Gold, VA 2023",Chardonnay,White
Backsberg Smuggled Vines Chardonnay (DGB) 2023,2023,175,"Gold, MV 2023",Chardonnay,White
De Wetshof Bon Vallon Chardonnay 2023,2023,175,"Gold, MV 2023",Chardonnay,White
Merwida Papenkuils Kukumakranka Unwooded Chardonnay 2023,2023,75,"D Gold, VA 2023",Chardonnay,White
Franschhoek Cellar Chardonnay 2023,2023,90,"Gold, GWM 2023",Chardonnay,White
Nabygelegen Chenin Blanc 2023,2023,110,"D Gold, VA 2023",Chenin Blanc,White
Ashton Winery Chenin Blanc 2023,2023,63,"D Gold, VA 2023",Chenin Blanc,White
Alvi's Drift Chenin Blanc 2023,2023,75,"D Gold, VA 2023",Chenin Blanc,White
Backsberg Gravel Road Chenin Blanc (DGB) 2023,2023,75,"Gold, MV 2023",Chenin Blanc,White
Groot Phesantekraal Chenin Blanc 2023,2023,84,"D Gold, VA 2023",Chenin Blanc,White
Simonsig Chenin Blanc 2023,2023,85,"Gold, MV 2023",Chenin Blanc,White
Franschhoek Cellar Chenin Blanc 2023,2023,90,"Gold, MV 2023",Chenin Blanc,White
Neethlingshof Gewürztraminer 2023,2023,100,"N Winner, SAT 2023",Niche White Varieties,Niche White
De Wetshof Lilya Dry Rosé 2023,2023,110,"Best in Class, NWC 2023",Rosé,Rosé
Riebeek Cellars Pinotage Rosé 2023,2023,68,"Winner, RR 2023",Rosé,Rosé
Rooiberg Pinotage Rosé 2023,2023,69,"Top 5, PRC 2023",Rosé,Rosé
Windmeul Pinotage Rosé 2023,2023,70,"Top 5, PRC 2023",Rosé,Rosé
Du Toitskloof Pinotage Rosé 2023,2023,75,"D Gold, VA 2023",Rosé,Rosé
Landskroon Blanc de Noir Pinotage Off Dry 2023,2023,80,"Top 5, PRC 2023",Rosé,Rosé
Simonsig Needless to Say Rosé 2023,2023,85,"Gold, MV 2023",Rosé,Rosé
Villion Rosa Rabbedoe Rosé 2023,2023,85,"Top Rosé, SSA 2023",Rosé,Rosé
Cederberg Sustainable Rosé 2023,2023,90,"Top 3 Rosé, SSA 2023",Rosé,Rosé
Maastricht Pinotage Rosé 2023,2023,95,"Top 5, PRC 2023",Rosé,Rosé
Bellingham Homestead Sauvignon Blanc 2023,2023,110,"Gold, MV 2023",Sauvignon Blanc,White
Tokara Sauvignon Blanc 2023,2023,110,"Gold, GWM 2023",Sauvignon Blanc,White
Nitida Sauvignon Blanc 2023,2023,115,"Top 10, ST10 2023",Sauvignon Blanc,White
Simonsig Sunbird Sauvignon Blanc 2023,2023,115,"Top 20, ST10 2023",Sauvignon Blanc,White
Zevenwacht Sauvignon Blanc 2023,2023,115,"Top 20, ST10 2023",Sauvignon Blanc,White
Von Blonde Sauvignon Blanc 2023,2023,120,"93/100, WM 2023",Sauvignon Blanc,White
Diemersdal Sauvignon Blanc Reserve 2023,2023,130,"95/100, PG 2023",Sauvignon Blanc,White
Spier Seaward Sauvignon Blanc 2023,2023,135,"Top 10, ST10 2023",Sauvignon Blanc,White
Kleine Zalze Vineyard Selection Sauvignon Blanc 2023,2023,148,"Top 20, ST10 2023",Sauvignon Blanc,White
Quoin Rock Sauvignon Blanc 2023,2023,150,"93/100, G&G 2023",Sauvignon Blanc,White
Cape of Good Hope Altima Sauvignon Blanc (Rupert) 2023,2023,155,"95/100, PG 2023",Sauvignon Blanc,White
Die Kat se Snor Sauvignon Blanc 2023,2023,170,"95/100, PG 2023",Sauvignon Blanc,White
Stellenbosch Vineyards Sauvignon Blanc 2023,2023,85,"D Gold, VA 2023",Sauvignon Blanc,White
Bon Courage Gooseberry Bush Sauvignon Blanc 2023,2023,88,"D Gold, VA 2023",Sauvignon Blanc,White
Spier Creative Block 2 2022 (White Blend),2022,145,"Gold, MV 2023",White Blends Bordeaux Style,White Blends
Spier Creative Block 3 2019 (Red Blend),2019,215,"Gold, MV 2023",Red Blends - Rhone Style,Red Blends
Spier Creative Block 5 2020 (Red Blend),2020,215,"D Gold, VA 2023",Red Blends - Bordeaux Style,Red Blends
Van Loveren Chenin Blanc No. 5 2023,2023,85,"D Gold, VA 2023",Chenin Blanc,White
Meinert 6Chen 2018 (Chenin),2018,270,"95/100, DM 2023",Chenin Blanc,White
The Pledge 10 Sauvignon Blanc (Le Grand) 2019,2019,150,"Top 20, ST10 2023",Sauvignon Blanc,White
Old Road 12 Mile Syrah 2021,2021,270,"97/100, TWS 2023",Shiraz / Syrah,Red
"Le Lude Vintage Cuvée 2013 (MCC, 1.5 litre)",2013,1600,"96/100, PG 2023",MCC,Sparkling
High Road Cabernet Sauvignon Reserve 2019 (1.5L),2019,1500,"96/100, PG 2023",Cabernet Sauvignon,Red
De Grendel Elim Shiraz 2020 (1.5 litre),2020,975,"94/100, WM 2023",Shiraz / Syrah,Red
De Grendel Elim Shiraz 2021 (1.5 litre),2021,975,"95/100, PG 2023",Shiraz / Syrah,Red
Spier 21 Gables Pinotage 2018,2018,320,"Top 10, T10P 2023",Pinotage,Red
Spier 21 Gables Cabernet Sauvignon 2019,2019,350,"94/100, G&G 2023",Cabernet Sauvignon,Red
Spier 21 Gables Chenin Blanc 2021,2021,290,"D Gold, VA 2023",Chenin Blanc,White
Stellenrust B28 Chenin Blanc 2022,2022,200,"Top 10, CBC 2023",Chenin Blanc,White
Kershaw Deconstructed Kogelberg Sandstone CY76 Chardonnay 2021,2021,1250,"95/100, PG 2023",Chardonnay,White
Lourensford 'Cuvée 124' Brut Zero 2011 (MCC),2011,550,"D Gold, CCC 2023",MCC,Sparkling
Graham Beck Artisan Collection Extra Brut 157 2009 (MCC),2009,650,"95/100, PG 2023",MCC,Sparkling
Nuy Barbieri Idro Red Muscadel 2015 (500ml),2015,317,"N Winner, SAT 2023",Dessert Wine - Fortified,Dessert
Alvi's Drift Reserve Muscat Nectarinia 2017 (375ml),2017,189,"D Gold, VA 2023",Dessert Wine - Fortified,Dessert
"Groot Constantia Grand Constance 2018 (Natural Sweet, 375ml)",2018,815,"Top 100, NWC 2023",Dessert Wine - Unfortified,Dessert
"Vin de Constance (Klein Constantia) 2019 (500ml, Natural Sweet)",2019,1400,"95/100, PG 2023",Dessert Wine - Unfortified,Dessert
"Vin de Constance (Klein Constantia) 2020 (500ml, Natural Sweet)",2020,1400,"97/100, PG 2023",Dessert Wine - Unfortified,Dessert
Villa Esposto Muscat d'Alexandrie Straw Wine (Klawer) 2021 (375ml),2021,130,"D Gold, VA 2023",Dessert Wine - Unfortified,Dessert
Paul Wallace Nix Noble Late Harvest 2021 (375ml),2021,280,"Top 100, NWC 2023",Dessert Wine - Unfortified,Dessert
"Delheim Edelspatz Botrytis Riesling 2021 (375ml, Noble Late Harvest)",2021,395,"93/100, IWSC 2023",Dessert Wine - Unfortified,Dessert
Paul Cluver Riesling Noble Late Harvest 2021 (375ml),2021,500,"95/100, DWA 2023",Dessert Wine - Unfortified,Dessert
Boschendal Vin D'Or Noble Late Harvest 2021 (375ml),2021,520,"95/100, PG 2023",Dessert Wine - Unfortified,Dessert
Perdeberg Dry Land Fortitude Fortified Chenin Blanc 2021 (500ml),2021,150,"D Gold, VA 2023",Chenin Blanc,White
Perdeberg Dry Land Fortitude Fortified Chenin Blanc 2021 (500ml),2021,150,"D Gold, VA 2023",Dessert Wine - Fortified,Dessert
Villa Esposto Muscat d'Alexandrie Straw Wine (Klawer) 2022 (375ml),2022,130,"N Winner, SAT 2023",Dessert Wine - Unfortified,Dessert
Nederburg Winemasters Noble Late Harvest 2022 (375ml),2022,135,"94/100, IWSC 2023",Dessert Wine - Unfortified,Dessert
"Savage Not Tonight Josephine 2022 (Straw Wine, 375ml)",2022,470,"96/100, PG 2023",Dessert Wine - Unfortified,Dessert
Mullineux Straw Wine 2022 (375ml),2022,648,"95/100, PG 2023",Dessert Wine - Unfortified,Dessert
"Fairview La Beryl Blanc 2022 (Straw Wine, 500ml)",2022,340,"Wine of the Yr, NWC 2023",Dessert Wine - Unfortified,Dessert
Alvi's Drift 221 Chenin Blanc 2021,2021,105,"93/100, DM 2023",Chenin Blanc,White
Alvi's Drift 221 Pinotage 2021,2021,120,"Top 100, NWC 2023",Pinotage,Red
Alvi's Drift 221 Chenin Blanc 2022,2022,105,"Top 100, NWC 2023",Chenin Blanc,White
De Trafford Elevation '393' 2017 (Red Blend),2017,1200,"95/100, PG 2023",Red Blends,Red Blends
Kershaw Deconstructed Kogelberg Ironstone CY548 Chardonnay 2021,2021,1250,"95/100, PG 2023",Chardonnay,White
Stellenbosch '1679' Legacy (Koelenhof) 2019 (Red Blend),2019,575,"Gold, CM 2023",Red Blends - Bordeaux Style,Red Blends
Stellenbosch '1679' Cabernet Sauvignon (Koelenhof) 2020,2020,425,"93/100, WM 2023",Cabernet Sauvignon,Red
Stellenbosch '1679' Old Vine Pinotage (Koelenhof) 2020,2020,375,"93/100, WM 2023",Pinotage,Red
Stellenbosch '1679' Legacy (Koelenhof) 2020 (Red Blend),2020,575,"Top 100, NWC 2023",Red Blends - Bordeaux Style,Red Blends
Stellenbosch '1679' Old Vine Pinotage (Koelenhof) 2021,2021,375,"D Gold, VA 2023",Pinotage,Red
Stellenbosch '1679' Bush Vine Chenin Blanc (Koelenhof) 2022,2022,230,"95/100, IWSC 2023",Chenin Blanc,White
Boschendal 1685 Pinotage 2020,2020,160,"Gold, MV 2023",Pinotage,Red
Rust en Vrede '1694 Classification' 2018 (Red Blend),2018,2000,"97/100, DWA 2023",Red Blends,Red Blends
Kaapzicht 1947 Chenin Blanc 2022,2022,730,"93/100, G&G 2023",Chenin Blanc,White
Bellevue 1953 Single Vineyard Pinotage 2019,2019,595,"95/100, PG 2023",Pinotage,Red
"Buitenverwachting '1769' 2020 (Noble Late Harvest, 500ml)",2020,380,"97/100, TWS 2023",Dessert Wine - Unfortified,Dessert
KWV Cape Tawny NV (Port),NA,99,"97/100, PG 2023","Port, Sherry",Fortified 
Vinay Vin Rosé NV (Slanghoek),NA,42,"N Winner, SAT 2023",Rosé,Rosé
Louisvale Chardonnay Pinot Noir Rosé Brut NV (MCC),NA,165,"Best in Class, CCC 2023",MCC,Sparkling
Villiera Tradition Brut NV (MCC),NA,171,"93/100, DWA 2023",MCC,Sparkling
